-1
Pais,Edad,Nombre,Id
Mauritania,374,Loraine Bednar,0
Tanzania,452,Polly Bosco,1
Albania,223,Myrtie Feil,2
Christmas Island,254,Mrs. Christian Jakubowski,3
Saint Helena,669,Fabiola Davis,4
Swaziland,723,Anabelle Ruecker,5
Timor-Leste,326,Alan Lang,6
Chile,196,Madie Dibbert,7
Argentina,607,Broderick West,8
Dronning Maud Land,978,Laverna Ondricka,9
Nepal,216,Sherman Gleason,10
Mauritius,189,Miller Schuster,11
Germany,593,Luz Mitchell,12
El Salvador,345,Dr. Rod Lehner,13
Greece,359,Freda Wunsch,14
Austria,977,Fanny Shields,15
Lithuania,411,Talon Rolfson,16
Tajikistan,280,Cydney O'Hara III,17
Thailand,747,Mr. Domenica Hane,18
Saint Lucia,862,Nannie Boyer,19
Fiji,195,Kameron Rippin,20
Netherlands,87,Karina Turcotte,21
Antarctica,256,Nikko Kuphal,22
Canada,659,Bernard Harris,23
North Vietnam,940,Maud Moen,24
Wallis and Futuna,980,Dr. Kendra Grady,25
Australia,592,Abe Ruecker,26
Chile,567,Emmy Hessel,27
Cayman Islands,904,Mrs. Hillard Schuppe,28
Northern Mariana Islands,476,Miracle Keeling,29
Armenia,918,Demetrius Leffler,30
Yemen,927,Francesca Price,31
Saint Pierre and Miquelon,671,Bernard Gerhold,32
China,700,Ruby Keebler MD,33
Christmas Island,14,Nia Bechtelar,34
Belize,462,Miss Rodrigo Schamberger,35
South Korea,868,Mr. Kelley Gislason,36
Estonia,822,Dr. Zella Blick,37
India,961,Marisol Rath,38
Uzbekistan,140,Miss Aliza Mertz,39
Christmas Island,706,Rolando Bosco,40
Ecuador,678,Sylvester Crona,41
Dominica,670,Jasper Hilpert I,42
United Arab Emirates,121,Jacquelyn Prohaska IV,43
Antarctica,195,Mr. Dixie Osinski,44
Jersey,325,Kennith Leuschke,45
Samoa,126,Ladarius Treutel,46
Barbados,353,Elza Spencer,47
Panama,6,Leola Batz,48
Falkland Islands,306,Lew Becker,49
Sweden,401,Kasey Marks,50
Romania,232,Wyatt Howell,51
Botswana,935,Kenton Nicolas DVM,52
Dronning Maud Land,798,Raheem Connelly,53
Bhutan,642,Lonzo Hyatt,54
Faroe Islands,980,Efrain Mann,55
Portugal,387,Betsy Conn,56
Sierra Leone,149,Marlin Ondricka,57
Hong Kong SAR China,485,Maxime Bahringer,58
Montenegro,594,Edmond Gleason,59
Equatorial Guinea,787,Jody Carroll,60
Haiti,920,Meaghan Dibbert PhD,61
Togo,578,Rashawn Weimann,62
Swaziland,701,Prince Botsford,63
Bouvet Island,503,Bryana Trantow V,64
Mayotte,519,Calista Klein,65
Northern Mariana Islands,681,Ryleigh Turcotte,66
Mali,13,Jenifer Bashirian,67
Germany,745,Maud Leuschke,68
U.S. Virgin Islands,665,Willis Swift,69
Mauritius,360,Mr. Alyce Johns,70
Finland,74,Aiden Altenwerth Sr.,71
Metropolitan France,751,Jaylin Blick,72
Gibraltar,295,Robert Davis,73
Antarctica,289,Jeramy McClure,74
Puerto Rico,31,Carol Ebert IV,75
Lithuania,458,Fred Rippin,76
Peru,65,Willard Marquardt,77
Libya,653,Sigmund Cormier,78
Norfolk Island,701,Josefina Batz,79
Haiti,477,Eli Padberg IV,80
Luxembourg,456,Elmer Huel,81
Lithuania,626,Scotty Pouros,82
Antarctica,396,Mrs. Emilie Windler,83
Equatorial Guinea,24,Ewald Parisian,84
Portugal,792,Leonardo Schinner,85
Saint Martin,132,Therese Prosacco,86
Greenland,259,Hillard Rosenbaum,87
Slovenia,538,Josie Prosacco DDS,88
Grenada,257,Cara Altenwerth,89
Falkland Islands,15,Jay Ankunding,90
Dominican Republic,730,Caroline Friesen,91
Argentina,642,Johathan Collier,92
Iran,974,Linnea Deckow,93
Japan,536,Mrs. Donato Crona,94
American Samoa,22,Adele Treutel IV,95
Jordan,63,Felicita Zulauf PhD,96
Tajikistan,648,Melyna Anderson,97
Micronesia,145,Tatyana Ward III,98
British Antarctic Territory,190,Heath McClure DVM,99
Austria,547,Aurore Hauck,100
Saudi Arabia,721,Brielle Franecki,101
Ukraine,925,Rosie Kautzer,102
Saint Barthélemy,236,Cloyd Nitzsche IV,103
Slovenia,941,Torrey Little,104
Christmas Island,516,Rowena Franecki,105
Saudi Arabia,491,Nat Becker,106
Jersey,12,Katherine Franecki,107
Poland,7,Louie Beatty,108
Grenada,312,Virgil Hamill Sr.,109
Micronesia,612,Lenore Balistreri,110
Cape Verde,447,Mr. Aaron Sporer,111
Jamaica,893,Noah Kautzer,112
Kyrgyzstan,160,Darren White,113
Nicaragua,404,Freddy Romaguera,114
Côte d’Ivoire,111,Hans Sanford MD,115
Midway Islands,424,Vincent Klocko,116
Antigua and Barbuda,768,Vilma Nikolaus,117
Nepal,924,Mitchell McClure,118
Saint Kitts and Nevis,3,Oda Kerluke,119
Mozambique,410,Sigurd Barrows DDS,120
East Germany,643,Fannie Harvey,121
Slovakia,233,Mrs. Adrien Bernhard,122
Kyrgyzstan,670,Adell Oberbrunner,123
Switzerland,440,Evie Abshire,124
Dominican Republic,732,Silas Cole II,125
Cape Verde,512,Frankie Reinger,126
Algeria,79,Terence Bartoletti IV,127
Jersey,854,Velda Koss DVM,128
Hong Kong SAR China,474,Salvador Klocko V,129
Czech Republic,332,Randall Hand,130
Guyana,910,Norbert Wiza,131
Saint Martin,872,Megane Lubowitz,132
Congo - Kinshasa,687,Lilly Sporer MD,133
Italy,3,Jodie Bernier,134
British Virgin Islands,399,Clovis Kris,135
Colombia,490,Scot Feil,136
Netherlands Antilles,775,David Jacobi,137
Micronesia,929,Horace Schulist,138
Peru,564,Dr. Elinor Weimann,139
Albania,742,Miss Thad Stamm,140
Montserrat,570,Winnifred Cartwright,141
Norway,289,Isaac O'Hara,142
Afghanistan,181,Robert Lowe Jr.,143
Bahrain,27,Delmer Macejkovic DVM,144
Romania,166,Stanford Stokes,145
Isle of Man,414,Emmalee Barrows,146
Puerto Rico,33,Ms. Shaniya Kshlerin,147
Bahamas,39,Desiree Conroy,148
Norfolk Island,527,Blake Wilkinson,149
Moldova,289,Johann Hudson,150
Belize,876,Sabryna Feeney,151
Malta,240,Sasha Hermann,152
Tanzania,790,Jackson Gleichner,153
Åland Islands,341,Gustave Wolff,154
Falkland Islands,817,Delphine Sanford,155
Guyana,770,Maryse Price,156
Timor-Leste,588,Zetta Bashirian,157
China,446,Wellington Monahan,158
Bangladesh,174,Miss Ally Murray,159
Eritrea,127,Katherine Anderson,160
Netherlands,198,Ms. Cole Tillman,161
Zimbabwe,264,Eleanore Bednar Sr.,162
Antigua and Barbuda,658,Olga Mills,163
Syria,785,Leone Smitham,164
Bosnia and Herzegovina,0,Miss Zane Dicki,165
Ecuador,508,Regan Bosco,166
Cook Islands,872,Isaiah Nolan,167
Johnston Island,446,Miss Thaddeus Ondricka,168
New Caledonia,689,Van Terry MD,169
U.S. Minor Outlying Islands,635,Alfred McCullough,170
Belgium,803,Steve McLaughlin,171
Togo,527,Erna Grady,172
U.S. Minor Outlying Islands,256,Dena Klocko,173
Kuwait,614,Ahmed Dicki,174
Indonesia,62,Candice Torphy,175
Pakistan,489,Lew Koch,176
Angola,392,Josefina Mann,177
Qatar,841,Francisco Kiehn,178
Mongolia,281,Nico Mitchell,179
French Southern Territories,211,Marisol Orn,180
Ecuador,37,Vickie Ziemann,181
Montenegro,902,Ms. Angelo Williamson,182
Monaco,907,Mrs. Stephen Paucek,183
Central African Republic,232,Mr. Valentine Homenick,184
Malta,136,Jaquan Emard,185
Brunei,986,Darryl Reilly,186
Timor-Leste,502,Mr. Rita Fahey,187
Brazil,891,Vincenzo Dooley,188
Barbados,554,Fabiola Heidenreich,189
U.S. Minor Outlying Islands,332,Grover Dickinson,190
U.S. Miscellaneous Pacific Islands,126,Marta Lubowitz,191
El Salvador,914,Titus Anderson DVM,192
Netherlands Antilles,153,Zechariah McGlynn,193
Brunei,131,Morgan Walsh,194
Dronning Maud Land,888,Dominique Ortiz,195
Fiji,449,Hildegard Weimann,196
Montserrat,413,Evert Feeney,197
American Samoa,357,Mrs. Hershel McDermott,198
Jordan,66,Jennyfer Langworth,199
Dominican Republic,303,Reyes Effertz,200
Palau,961,Broderick Berge,201
Burundi,867,Columbus Bartell II,202
Cayman Islands,182,Jordane Pollich,203
Serbia and Montenegro,316,Nash Stokes,204
Qatar,408,Ilene Jerde,205
Liechtenstein,555,Lenny Wisozk,206
Comoros,351,Danielle Daugherty,207
Guam,741,Miss Colt Hintz,208
Guinea-Bissau,883,Daisha Quigley,209
Iran,2,Cecelia Friesen,210
Sudan,256,Rodolfo Fisher,211
Chile,315,Jayce Torphy,212
Vanuatu,518,Mathias Rice,213
Bermuda,852,Fredrick Huels,214
Spain,517,Aylin Cartwright,215
Isle of Man,588,Madge Parker,216
Cocos [Keeling] Islands,611,Delphine Moore,217
Germany,850,Ezequiel McClure,218
Albania,418,Jameson Graham,219
Bahamas,114,Violette Gerlach,220
Oman,607,Ismael Ankunding II,221
Afghanistan,741,Mavis Larkin,222
Slovenia,447,Zella Hilpert,223
East Germany,579,Brannon Littel,224
Solomon Islands,376,Olin Barrows,225
Brunei,788,Stanford Kuhlman,226
Panama Canal Zone,398,Retta Lang Jr.,227
Cook Islands,357,Ressie Tremblay,228
Gabon,443,Mrs. Aileen Lueilwitz,229
Ireland,28,Tito Kemmer,230
Saint Helena,998,Otha Kling,231
Italy,911,Keeley Mayert,232
Mauritius,752,Glen Boehm,233
Isle of Man,848,Easton Jacobi,234
Palau,135,Ima Goyette Sr.,235
Tonga,337,Judson Cole II,236
Chad,279,Ivory Bashirian,237
New Caledonia,759,Miss Thelma Fadel,238
Portugal,21,Jerry Hilll,239
Equatorial Guinea,783,Miss Jordy Brown,240
Costa Rica,483,Frederick Ruecker,241
New Zealand,621,Teagan Lang,242
Equatorial Guinea,767,Armand Christiansen,243
Macau SAR China,326,Valerie Ebert,244
Puerto Rico,487,Faye Fahey,245
Wake Island,134,Caesar Moen,246
Réunion,326,Shane Lakin I,247
El Salvador,257,Carson Jacobs,248
Jersey,969,Raheem Schultz,249
Kyrgyzstan,751,Adam Reichel,250
Sudan,621,Tyrell Balistreri II,251
Liberia,829,Kennith Walsh,252
Guatemala,994,Oliver Streich,253
Kazakhstan,807,Alvina Runte,254
Poland,135,Ruby Nikolaus,255
Dominica,656,Roel Dietrich,256
Cyprus,825,Lindsay Mohr,257
British Indian Ocean Territory,13,Madalyn Rempel,258
Germany,538,Savion O'Hara,259
New Zealand,203,Antonette Johnston I,260
Cuba,248,Terrill Abernathy,261
Panama,203,Ms. Sabrina Feil,262
Syria,69,Maci Greenholt,263
Georgia,784,Fiona Legros,264
Micronesia,397,Toby Roberts,265
Germany,88,Bailee O'Keefe V,266
Dronning Maud Land,284,Rosalind Kris,267
Martinique,945,Britney Feeney,268
Somalia,247,Gertrude Howell,269
Gabon,983,Vladimir Terry,270
Antarctica,153,Stefan Gleichner,271
Turkmenistan,582,Helena Raynor,272
Kazakhstan,183,Miss Francis Gerlach,273
Guyana,77,Felipe Harªann,274
Lesotho,56,Alexandro Thompson,275
Vanuatu,563,Hilma Senger,276
Guinea,618,Ambrose Russel,277
France,273,Kayden Zemlak,278
Christmas Island,925,Miss Cleo Paucek,279
Japan,963,Perry Watsica,280
Belize,207,Celia Bednar,281
Cocos [Keeling] Islands,386,Payton Stokes,282
Qatar,418,Vivienne Goodwin,283
Jamaica,127,Lincoln Romaguera,284
Congo - Kinshasa,55,Dr. Stewart Gutkowski,285
Guinea,919,Addie Langworth,286
Cyprus,789,Charlotte Waters,287
Bermuda,7,Lera Turner,288
Bangladesh,433,Dax Klocko,289
France,373,Lizeth Rath,290
Brunei,610,Enola Smith,291
Belarus,227,Mohammad Boyle,292
Solomon Islands,164,Kaya Auer,293
Brunei,532,Dr. Jimmie Leannon,294
Guyana,980,Mr. Guido Runolfsdottir,295
Nicaragua,212,Rhoda Kohler,296
Thailand,77,Dr. Amelia Jenkins,297
Macau SAR China,60,Keely Greenfelder,298
U.S. Miscellaneous Pacific Islands,625,Bailey Oberbrunner,299
Lithuania,977,Enola Shields,300
People's Democratic Republic of Yemen,497,Clark Quigley,301
Andorra,8,Esther Towne,302
Vietnam,189,Ms. Taurean Friesen,303
Lesotho,56,Watson McGlynn,304
Macau SAR China,134,Loren Cormier,305
Tunisia,431,Frieda Schulist,306
Mozambique,922,Gene Marks I,307
Sweden,601,Miracle Mayert V,308
French Polynesia,273,Nico Gusikowski,309
Tunisia,554,Dayne Thompson I,310
Cambodia,992,Wilmer Rolfson,311
Senegal,213,Nicholas Gottlieb,312
Andorra,146,Patrick Batz,313
Puerto Rico,459,Joelle Moen,314
Cambodia,807,Eleanora Collins,315
Malawi,362,Brionna Kuhlman,316
Johnston Island,3,Garrison Towne,317
Uzbekistan,513,Bette Reynolds,318
Liechtenstein,662,Elody Greenfelder,319
Mauritania,155,Deja Cronin,320
Union of Soviet Socialist Republics,623,Dean Bosco II,321
Wake Island,110,Ashlynn Schroeder,322
Montenegro,934,Nicklaus Guªann,323
Saint Martin,572,Dortha Kunde,324
French Southern and Antarctic Territories,576,Aliza Reynolds,325
Russia,749,Elwin Dietrich,326
Syria,908,Mason Tillman,327
Papua New Guinea,503,Wava Bechtelar,328
Congo - Brazzaville,734,Freeda Schuppe,329
Burkina Faso,996,Euna Kiehn,330
Albania,275,Maximilian Roob Sr.,331
Guinea,684,Khalid Moore,332
Greece,731,Kelley Weissnat,333
Spain,325,Miss Kylie Ferry,334
Saint Helena,119,Tyler Metz,335
French Polynesia,278,Stacy Pacocha III,336
British Indian Ocean Territory,697,Jevon Senger,337
U.S. Miscellaneous Pacific Islands,307,Emery Langworth,338
Uzbekistan,602,Dr. Leann Guªann,339
Andorra,119,Earl Brekke,340
Croatia,306,Cory Lynch,341
Western Sahara,639,Mrs. Chanel Breitenberg,342
Tonga,96,Israel Rippin,343
Bolivia,550,Johnnie Hoeger II,344
Paraguay,383,Bernardo Friesen,345
Oman,606,Maurine Block,346
Switzerland,446,Jacinto Waelchi,347
Costa Rica,503,Adele Keebler,348
Sierra Leone,364,Ransom Erdman,349
Réunion,970,Kara Kohler,350
North Vietnam,586,Jalyn Predovic,351
French Polynesia,115,Declan Lakin,352
Malaysia,758,Ian Eichmann,353
Germany,615,Olin Fadel,354
Åland Islands,101,Camylle Lueilwitz,355
Syria,49,Miss Sydnee Gusikowski,356
Canton and Enderbury Islands,920,Amber Satterfield I,357
Fiji,938,Mrs. Vivien Johnston,358
Panama Canal Zone,95,Miss Nadia Zulauf,359
Pacific Islands Trust Territory,609,Lonzo Larkin,360
Christmas Island,923,David Howe PhD,361
Indonesia,41,Melody Gulgowski,362
Uganda,157,Valentin Lynch,363
Oman,310,Melba Hegmann,364
Faroe Islands,772,Thomas Abernathy,365
Solomon Islands,13,Raymond Nikolaus,366
Johnston Island,657,Amanda Hahn,367
Saint Lucia,384,Melba Douglas,368
Costa Rica,953,Dangelo Jacobs,369
Qatar,381,Edyth Luettgen,370
Malta,921,Brionna Herman DDS,371
Costa Rica,362,Hector Kuhlman,372
South Georgia and the South Sandwich Islands,27,Eldridge Hilpert,373
Tonga,818,Lukas Mayer,374
Brunei,668,Nasir Borer,375
Bouvet Island,316,Nayeli Gleason,376
Paraguay,965,Houston Blick III,377
Bangladesh,864,Miss Lempi Weissnat,378
Tonga,125,Ottilie Boyle Sr.,379
Serbia and Montenegro,642,Name Goyette,380
Georgia,446,Clement Kiehn,381
Cambodia,501,Ashtyn Maggio,382
Spain,681,Elton Emard,383
Suriname,798,Francis Brekke,384
Ukraine,618,Kendra Dickens,385
Macau SAR China,671,Tobin Prosacco,386
Malta,266,Miss Lee Zulauf,387
British Virgin Islands,908,Percival Armstrong,388
Kiribati,960,Robbie Weimann,389
Solomon Islands,683,Vicky Funk,390
United Arab Emirates,621,Myrl Reilly I,391
Ukraine,76,Bethany Pfannerstill,392
Mayotte,483,Dorian Towne,393
North Vietnam,878,Sallie Kulas,394
Somalia,809,Mariam Feest,395
Ecuador,471,Ms. Providenci Bayer,396
Guam,101,Wade Walsh,397
United Arab Emirates,863,Aaron Gerhold,398
Slovakia,13,Francesca Anderson DDS,399
Tajikistan,619,Katrina Abbott,400
Australia,923,Ms. Gerda Sanford,401
Rwanda,985,Lillie Barton,402
Grenada,204,Gerry Padberg,403
Bhutan,131,Tommie Parisian,404
Bosnia and Herzegovina,305,Ida Swift,405
Portugal,151,Dorris Predovic,406
Latvia,707,Jevon Larson,407
Marshall Islands,575,Reta Gorczany,408
Norfolk Island,982,Kaia Bode,409
